id,name,unit_price,category,img_url,create_at
987858243,"菌汤(2人食,小火锅专用)",21,47,http://fuss10.elemecdn.com/2/eb/e61d527102bb2a463e6fa4843e7f6jpeg.jpeg,1542809128
987849101,"麻辣(2人食,小火锅专用)",21,47,http://fuss10.elemecdn.com/1/cd/7802d18684566d1dc8fa1a89c292ajpeg.jpeg,1542809128
987853440,"三鲜(2人食,小火锅专用)",21,47,http://fuss10.elemecdn.com/1/13/b050adcd7062b2c00cd3c5db06e39jpeg.jpeg,1542809128
140064732,锅具炉具,28,49,http://fuss10.elemecdn.com/4/ab/4886a93010c78aa1bf08981230e52jpeg.jpeg,1542809128
140064736,燃油,10,48,http://fuss10.elemecdn.com/9/1d/64e131320cd02ffa7b137fb0f61bdjpeg.jpeg,1542809128
1434914930,网红辣辣辣小料,23,50,http://fuss10.elemecdn.com/3/97/b856787ecddf12b43352a59d80500jpeg.jpeg,1542809128
987866784,葱花,1,51,http://fuss10.elemecdn.com/3/f4/1c60cae444d66d063de5f7f3677b3jpeg.jpeg,1542809128
987858244,芝麻酱,9,50,http://fuss10.elemecdn.com/d/ea/d9e2ddefde571ee85a3bf7622b895jpeg.jpeg,1542809128
963100519,丸滑调味汁,9,50,http://fuss10.elemecdn.com/3/11/e747d3e10cdce8e62a9902dc23acfpng.jpeg,1542809128
987862093,豆花酱,9,50,http://fuss10.elemecdn.com/3/94/71755781d58ac958d9f987a837495jpeg.jpeg,1542809128
987853448,香菜,1,50,http://fuss10.elemecdn.com/f/48/45300ed95dd9773e05e70c29476d3jpeg.jpeg,1542809128
963104289,瑶柱香菇酱,9,50,http://fuss10.elemecdn.com/1/e3/db3f051a774f288a64eb8d01138bfjpeg.jpeg,1542809128
963100509,海鲜酱,9,50,http://fuss10.elemecdn.com/8/df/cac36f3689d5c50da70e566c41c23jpeg.jpeg,1542809128
963092520,沙茶酱,9,50,http://fuss10.elemecdn.com/0/dc/60d81e7b7676166e21e272cd07dacjpeg.jpeg,1542809128
963083346,海椒干碟,9,50,http://fuss10.elemecdn.com/c/ef/29103482ad38a4f3c9c7cfc0da629png.jpeg,1542809128
963078930,精品牛肉酱,9,50,http://fuss10.elemecdn.com/2/22/74b72dc1b706893fb44d2a16edbeapng.jpeg,1542809128
